F1	F1_diff	Precision	Precision_diff	Recall	Recall_diff	split	class
0,707592892	0,00838344	0,616901408	0,064788732	0,829545455	-0,075651374	train	9
0,862447257	-0,01113035	0,927404719	-0,01814882	0,805993691	-0,005674202	train	10
0,644067797	0,033351558	0,527777778	0,055555556	0,826086957	-0,018394649	test	1
0,716216216	-0,018229639	0,716216216	-0,013513514	0,716216216	-0,022882883	test	2
0,625	-0,0625	0,634920635	-0,063492063	0,615384615	-0,061538462	test	3
0,586387435	-0,005381848	0,691358025	-0,049382716	0,509090909	0,021521336	test	4
0,452830189	0,03897309	0,375	0,09375	0,571428571	-0,054187192	test	5
0,693333333	-0,001025641	0,604651163	0,023255814	0,8125	-0,041071429	test	6
0,743589744	-0,006747638	0,69047619	-0,023809524	0,805555556	0,017973856	test	7
0,769230769	0,018648019	0,833333333	0,033333333	0,714285714	0,007936508	test	8
0,666666667	0,021505376	0,638297872	0,042553191	0,697674419	-0,002022245	test	9
0,817518248	0,00066357	0,875	-0,03125	0,767123288	0,026994359	test	10
0,517241379	0,007348785	0,428571429	0,028571429	0,652173913	-0,036789298	val	1
0,764705882	-0,002115954	0,787878788	0,015151515	0,742857143	-0,016829746	val	2
0,674698795	0,00431355	0,708860759	-0,012658228	0,643678161	0,018972441	val	3
0,662790698	-0,023737443	0,695121951	-0,036585366	0,633333333	-0,012643678	val	4
0,571428571	0,006349206	0,48	0,04	0,705882353	-0,055882353	val	5
0,675324675	0,06151743	0,65	0,05	0,702702703	0,075075075	val	6
0,823529412	-0,037815126	0,897435897	-0,051282051	0,760869565	-0,027536232	val	7
0,826666667	0	0,775	0	0,885714286	0	val	8
0,588235294	0,051764706	0,5	0,1	0,714285714	-0,028571429	val	9
0,855172414	0,014392804	0,939393939	-0,03030303	0,784810127	0,048523207	val	10
0,900163666	0,087566395	0,833333333	0,142424242	0,978647687	0,021352313	train	1
0,950197628	0,037103959	0,957006369	0,03343949	0,943485086	0,040692129	train	2
0,912280702	0,083060913	0,886821705	0,106976744	0,939244663	0,057644917	train	3
0,899196042	0,094335653	0,944155844	0,053246753	0,858323495	0,131367227	train	4
0,875318066	0,110118827	0,830917874	0,149758454	0,924731183	0,06551272	train	5
0,945783133	0,051130448	0,972136223	0,027863777	0,920821114	0,073025039	train	6
0,953395473	0,041341369	0,937172775	0,052356021	0,970189702	0,029810298	train	7
0,963671128	0,034409486	0,969230769	0,030769231	0,958174905	0,037993677	train	8
0,925925926	0,065943993	0,880758808	0,111111111	0,975975976	0,015893943	train	9
0,954237288	0,041357426	0,994699647	0,003533569	0,916938111	0,076032012	train	10
0,626865672	-0,023691068	0,583333333	-0,055555556	0,677419355	0,026284349	test	1
0,7	0,028571429	0,662162162	0,027027027	0,742424242	0,03030303	test	2
0,606896552	0,020840675	0,698412698	-0,015873016	0,536585366	0,044495715	test	3
0,582857143	-0,006770186	0,62962963	0,024691358	0,542553191	-0,027990085	test	4
0,482758621	0,034482759	0,4375	0,03125	0,538461538	0,038461538	test	5
0,563380282	0,039359444	0,465116279	0,046511628	0,714285714	0,019047619	test	6
0,752941176	0,023529412	0,761904762	0,023809524	0,744186047	0,023255814	test	7
0,779661017	-0,005467469	0,766666667	0,033333333	0,793103448	-0,043103448	test	8
0,695652174	-0,014333493	0,680851064	-0,021276596	0,711111111	-0,006565657	test	9
0,818181818	-0,009021513	0,84375	-0,015625	0,794117647	-0,003072871	test	10
0,571428571	0,004842615	0,514285714	-0,028571429	0,642857143	0,06547619	val	1
0,736842105	0,013157895	0,742424242	-0,015151515	0,731343284	0,042850265	val	2
0,625	0,009146341	0,632911392	0,025316456	0,617283951	-0,005519245	val	3
0,642857143	-0,015638208	0,658536585	-0,012195122	0,627906977	-0,018711574	val	4
0,583333333	-0,044871795	0,56	0	0,608695652	-0,090177134	val	5
0,623376623	0,034851225	0,6	0,05	0,648648649	0,018018018	val	6
0,80952381	-0,014343087	0,871794872	-0,025641026	0,755555556	-0,005555556	val	7
0,773333333	0,021187215	0,725	0	0,828571429	0,05021645	val	8
0,631578947	0,026315789	0,6	0,025	0,666666667	0,027777778	val	9
0,842857143	0,008206687	0,893939394	0,015151515	0,797297297	0,002702703	val	10
0,857589984	-0,01193082	0,83030303	-0,033333333	0,886731392	0,01395354	train	1
0,819376026	0,006961422	0,794585987	0,00477707	0,845762712	0,0094332	train	2
0,808675445	0,00929512	0,809302326	0,009302326	0,808049536	0,009287926	train	3
0,775260257	0,009457754	0,822077922	0,018181818	0,733487833	0,002575876	train	4
0,802005013	0,031741886	0,77294686	0,038647343	0,833333333	0,023809524	train	5
0,866242038	0	0,842105263	0	0,891803279	0	train	6
0,918848168	-0,005235602	0,918848168	-0,005235602	0,918848168	-0,005235602	train	7
0,94302554	-0,014454112	0,923076923	-0,023076923	0,963855422	-0,004839028	train	8
0,856338028	-0,015882188	0,823848238	-0,024390244	0,891495601	-0,005609715	train	9
0,913601369	-0,006663974	0,943462898	0,003533569	0,885572139	-0,015442269	train	10
