,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9
0,20.0,3.0,2.0,6.0,1.0,3.0,1.0,0.0,0.0,0.0,14.0,5.0,3.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,196.0,26.0,10.0,76.0,2.0,8.0,2.0,0.0,0.0,0.0
1,1.0,46.0,4.0,13.0,4.0,4.0,1.0,1.0,0.0,0.0,3.0,39.0,6.0,12.0,1.0,5.0,0.0,0.0,0.0,0.0,20.0,402.0,35.0,110.0,9.0,28.0,0.0,0.0,0.0,0.0
2,1.0,5.0,40.0,11.0,3.0,2.0,1.0,0.0,0.0,0.0,3.0,5.0,51.0,10.0,3.0,7.0,0.0,0.0,0.0,0.0,16.0,51.0,388.0,95.0,24.0,49.0,2.0,3.0,2.0,3.0
3,3.0,13.0,11.0,45.0,6.0,0.0,2.0,1.0,0.0,0.0,1.0,14.0,9.0,45.0,7.0,5.0,0.0,1.0,0.0,0.0,25.0,94.0,53.0,529.0,19.0,26.0,1.0,2.0,1.0,0.0
4,0.0,0.0,3.0,13.0,12.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,2.0,7.0,9.0,1.0,1.0,1.0,2.0,0.0,2.0,8.0,24.0,41.0,117.0,1.0,3.0,2.0,4.0,1.0
5,0.0,4.0,11.0,4.0,1.0,22.0,0.0,1.0,0.0,0.0,0.0,6.0,5.0,1.0,0.0,28.0,0.0,0.0,0.0,0.0,6.0,32.0,49.0,12.0,4.0,209.0,2.0,0.0,1.0,0.0
6,0.0,0.0,0.0,0.0,2.0,1.0,30.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,31.0,1.0,2.0,4.0,1.0,0.0,3.0,0.0,4.0,1.0,277.0,25.0,23.0,34.0
7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,18.0,5.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,26.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,30.0,203.0,15.0,3.0
8,0.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,28.0,12.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,22.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,9.0,242.0,84.0
9,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,7.0,54.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,57.0,0.0,0.0,1.0,0.0,0.0,1.0,13.0,2.0,33.0,501.0
