,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9
0,19.0,1.0,4.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,17.0,2.0,2.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,263.0,4.0,6.0,54.0,0.0,3.0,0.0,0.0,0.0,0.0
1,1.0,51.0,2.0,15.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,48.0,5.0,7.0,1.0,2.0,1.0,0.0,0.0,0.0,9.0,502.0,13.0,90.0,6.0,8.0,0.0,0.0,0.0,0.0
2,1.0,1.0,43.0,14.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,52.0,9.0,7.0,5.0,0.0,0.0,0.0,0.0,6.0,17.0,528.0,62.0,11.0,19.0,0.0,0.0,1.0,1.0
3,4.0,8.0,9.0,53.0,5.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,14.0,53.0,4.0,3.0,1.0,2.0,0.0,0.0,14.0,45.0,52.0,647.0,9.0,3.0,0.0,0.0,0.0,0.0
4,2.0,0.0,4.0,8.0,15.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,6.0,14.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,14.0,21.0,168.0,0.0,0.0,0.0,0.0,0.0
5,0.0,5.0,11.0,3.0,1.0,22.0,1.0,0.0,0.0,0.0,1.0,4.0,8.0,1.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,15.0,32.0,3.0,1.0,272.0,0.0,0.0,0.0,0.0
6,0.0,0.0,1.0,0.0,0.0,1.0,33.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,2.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,349.0,5.0,8.0,17.0
7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,24.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,29.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,234.0,3.0,2.0
8,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,31.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,25.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,4.0,295.0,60.0
9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,53.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,26.0,536.0
