,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9
0,18.0,3.0,4.0,7.0,0.0,3.0,1.0,0.0,0.0,0.0,14.0,2.0,2.0,12.0,1.0,4.0,0.0,0.0,0.0,0.0,282.0,8.0,6.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2.0,46.0,7.0,11.0,3.0,3.0,1.0,0.0,1.0,0.0,4.0,47.0,7.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,553.0,9.0,49.0,7.0,5.0,0.0,0.0,0.0,0.0
2,0.0,2.0,37.0,18.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,50.0,10.0,4.0,8.0,0.0,0.0,0.0,0.0,5.0,9.0,560.0,45.0,6.0,19.0,0.0,0.0,0.0,1.0
3,4.0,12.0,11.0,47.0,6.0,0.0,1.0,0.0,0.0,0.0,4.0,7.0,9.0,48.0,7.0,6.0,1.0,0.0,0.0,0.0,11.0,52.0,19.0,678.0,9.0,1.0,0.0,0.0,0.0,0.0
4,1.0,0.0,4.0,11.0,12.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,4.0,6.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,14.0,33.0,155.0,2.0,0.0,1.0,0.0,0.0
5,0.0,6.0,12.0,2.0,1.0,20.0,0.0,0.0,0.0,2.0,1.0,5.0,8.0,3.0,0.0,23.0,0.0,0.0,0.0,0.0,3.0,6.0,22.0,2.0,2.0,288.0,0.0,0.0,0.0,0.0
6,1.0,0.0,0.0,2.0,0.0,0.0,30.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,355.0,9.0,7.0,9.0
7,0.0,0.0,0.0,0.0,0.0,1.0,4.0,22.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,26.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,242.0,4.0,1.0
8,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,32.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,23.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,6.0,316.0,43.0
9,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,7.0,54.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,25.0,537.0
