,Criteria i,Criteria ii,Criteria iii,Criteria iv,Criteria v,Criteria vi,Criteria vii,Criteria viii,Criteria ix,Criteria x,Others,max_1_val,max_1_col,max_2_val,max_2_col,max_3_val,max_3_col,max_1,max_3
0,0.12191740423440933,0.02436698041856289,0.05188407003879547,0.7677510380744934,0.004243653267621994,0.014229320921003819,0.0014145990135148168,0.0008449740125797689,0.0009447358315810561,0.0022746615577489138,0.010128641501069069,0.7677510380744934,Criteria iv,0.12191740423440933,Criteria i,0.05188407003879547,Criteria iii,0.7677510380744934,0.9415525123476982
1,0.12958331406116486,0.2439887374639511,0.2666155695915222,0.2592799961566925,0.01701955869793892,0.055353086441755295,0.003414187580347061,0.0016813139664009213,0.0019667192827910185,0.0024030162021517754,0.018694473430514336,0.2666155695915222,Criteria iii,0.2592799961566925,Criteria iv,0.2439887374639511,Criteria ii,0.2666155695915222,0.7698843032121658
2,0.23008470237255096,0.08693020045757294,0.017166903242468834,0.5476630926132202,0.008493509143590927,0.05308918654918671,0.011695561930537224,0.006185536272823811,0.0038746988866478205,0.012005913071334362,0.0228106789290905,0.5476630926132202,Criteria iv,0.23008470237255096,Criteria i,0.08693020045757294,Criteria ii,0.5476630926132202,0.8646779954433441
3,0.05806366354227066,0.023712722584605217,0.1333134025335312,0.08486288040876389,0.12298494577407837,0.12526293098926544,0.33957791328430176,0.020653530955314636,0.016124242916703224,0.03602427989244461,0.03941943123936653,0.33957791328430176,Criteria vii,0.1333134025335312,Criteria iii,0.12526293098926544,Criteria vi,0.33957791328430176,0.5981542468070984
4,0.06011221930384636,0.5120264887809753,0.020254241302609444,0.35074886679649353,0.015138988383114338,0.0172420684248209,0.0018130672397091985,0.002386601408943534,0.0038943409454077482,0.003338204463943839,0.013045049272477627,0.5120264887809753,Criteria ii,0.35074886679649353,Criteria iv,0.06011221930384636,Criteria i,0.5120264887809753,0.9228875748813152
5,0.4632470905780792,0.05957784876227379,0.01626616157591343,0.25082919001579285,0.007754259277135134,0.08016572147607803,0.029421865940093994,0.010881947353482246,0.013153987936675549,0.041036807000637054,0.02766512893140316,0.4632470905780792,Criteria i,0.25082919001579285,Criteria iv,0.08016572147607803,Criteria vi,0.4632470905780792,0.7942420020699501
6,0.05184385925531387,0.04254944995045662,0.13219931721687317,0.20054630935192108,0.11256270855665207,0.27879127860069275,0.11334686726331711,0.010153567418456078,0.011581613682210445,0.016334939748048782,0.03009013831615448,0.27879127860069275,Criteria vi,0.20054630935192108,Criteria iv,0.13219931721687317,Criteria iii,0.27879127860069275,0.611536905169487
7,0.12832292914390564,0.015799950808286667,0.26528114080429077,0.49078431725502014,0.03214681148529053,0.02253929153084755,0.013446778059005737,0.0027927933260798454,0.0026216956321150064,0.008335764519870281,0.01792854070663452,0.49078431725502014,Criteria iv,0.26528114080429077,Criteria iii,0.12832292914390564,Criteria i,0.49078431725502014,0.8843883872032166
8,0.2777271270751953,0.021079236641526222,0.04498240351676941,0.23286952078342438,0.02155260741710663,0.06851384788751602,0.18787001073360443,0.022397592663764954,0.020441869273781776,0.0655227079987526,0.03704310953617096,0.2777271270751953,Criteria i,0.23286952078342438,Criteria iv,0.18787001073360443,Criteria vii,0.2777271270751953,0.6984666585922241
9,0.22678591310977936,0.025823431089520454,0.046650711447000504,0.11688017845153809,0.023019596934318542,0.36574968695640564,0.1076585203409195,0.011076184920966625,0.013544300571084023,0.02781383879482746,0.03499779477715492,0.36574968695640564,Criteria vi,0.22678591310977936,Criteria i,0.11688017845153809,Criteria iv,0.36574968695640564,0.7094157785177231
10,0.05463877692818642,0.2616202235221863,0.03222939744591713,0.38805198669433594,0.010846732184290886,0.20618490874767303,0.0065323784947395325,0.0035884403623640537,0.004589022137224674,0.006450626999139786,0.025267578661441803,0.38805198669433594,Criteria iv,0.2616202235221863,Criteria ii,0.20618490874767303,Criteria vi,0.38805198669433594,0.8558571189641953
11,0.2504081428050995,0.08496948331594467,0.13137128949165344,0.1710468977689743,0.005211720708757639,0.3135223388671875,0.004513300955295563,0.0029799507465213537,0.003506200620904565,0.00811957661062479,0.02435113489627838,0.3135223388671875,Criteria vi,0.2504081428050995,Criteria i,0.1710468977689743,Criteria iv,0.3135223388671875,0.7349773794412613
12,0.3406776785850525,0.04141973331570625,0.041779279708862305,0.44378262758255005,0.0036857982631772757,0.10489430278539658,0.0026980279944837093,0.0016330629587173462,0.0016257239039987326,0.0028230336029082537,0.014980795793235302,0.44378262758255005,Criteria iv,0.3406776785850525,Criteria i,0.10489430278539658,Criteria vi,0.44378262758255005,0.8893546089529991
13,0.809202253818512,0.0303431898355484,0.02478252910077572,0.05672677233815193,0.0021380006801337004,0.048785120248794556,0.004416716285049915,0.0027298233471810818,0.002670522779226303,0.006439560558646917,0.011765477247536182,0.809202253818512,Criteria i,0.05672677233815193,Criteria iv,0.048785120248794556,Criteria vi,0.809202253818512,0.9147141464054585
14,0.698811411857605,0.033694665879011154,0.03094189055263996,0.020627621561288834,0.007408168166875839,0.04158807173371315,0.04954621195793152,0.02321482263505459,0.016675246879458427,0.05511507764458656,0.02237684465944767,0.698811411857605,Criteria i,0.05511507764458656,Criteria x,0.04954621195793152,Criteria vii,0.698811411857605,0.8034727014601231
15,0.03619731217622757,0.0062161763198673725,0.0389912873506546,0.017800381407141685,0.04229472205042839,0.12331250309944153,0.5631669163703918,0.05964610353112221,0.028864027932286263,0.05514936149120331,0.028361165896058083,0.5631669163703918,Criteria vii,0.12331250309944153,Criteria vi,0.05964610353112221,Criteria viii,0.5631669163703918,0.7461255230009556
16,0.2946452796459198,0.06884142756462097,0.3517358601093292,0.07377231121063232,0.004323201719671488,0.17262504994869232,0.005514584016054869,0.0037269284948706627,0.0022510404232889414,0.005164332687854767,0.01740010268986225,0.3517358601093292,Criteria iii,0.2946452796459198,Criteria i,0.17262504994869232,Criteria vi,0.3517358601093292,0.8190061897039413
17,0.046665746718645096,0.08709833025932312,0.01965085044503212,0.07333050668239594,0.008387448266148567,0.728657603263855,0.0052685909904539585,0.003832100424915552,0.004548673518002033,0.0055753677152097225,0.01698480360209942,0.728657603263855,Criteria vi,0.08709833025932312,Criteria ii,0.07333050668239594,Criteria iv,0.728657603263855,0.889086440205574
