;c1;c2;c3;c4;c5;c6;n7;n8;n9;n10
c1;3;144;130;169;17;82;9;1;4;4
c2;144;10;191;325;55;120;4;0;2;3
c3;130;191;44;248;72;131;17;6;15;15
c4;169;325;248;52;81;137;8;3;6;8
c5;17;55;72;81;14;26;12;4;4;4
c6;82;120;131;137;26;12;8;4;4;7
n7;9;4;17;8;12;8;8;61;68;81
n8;1;0;6;3;4;4;61;21;34;34
n9;4;2;15;6;4;4;68;34;6;100
n10;4;3;15;8;4;7;81;34;100;18
